номер региона;субъект;y1;y2;y3;y4;y5;y;год;x1;
558;Оренбургская область ;4767,50;58,00;1,50;-4917,80;190,80;-1694007,10;2016,00;5,38;
559;Пензенская область ;4776,00;58,10;1,50;-4926,70;191,10;-1697073,30;2016,00;5,38;
560;Самарская область ;4784,50;58,20;1,50;-4935,60;191,40;-1700139,50;2016,00;5,38;
561;Саратовская область ;4793,00;58,30;1,50;-4944,50;191,70;-1703205,70;2016,00;5,38;
562;Ульяновская область ;4801,50;58,40;1,50;-4953,40;192,00;-1706271,90;2016,00;5,38;
563;Курганская область ;4810,00;58,50;1,50;-4962,30;192,30;-1709338,10;2016,00;5,38;
564;Свердловская область ;4818,50;58,60;1,50;-4971,20;192,60;-1712404,30;2016,00;5,38;
565;Тюменская область ;4827,00;58,70;1,50;-4980,10;192,90;-1715470,50;2016,00;5,38;
566;Ханты-Мансийский авт. округ ;4835,50;58,80;1,50;-4989,00;193,20;-1718536,70;2016,00;5,38;
567;Ямало-Ненецкий авт. округ ;4844,00;58,90;1,50;-4997,90;193,50;-1721602,90;2016,00;5,38;
568;Челябинская область ;4852,50;59,00;1,50;-5006,80;193,80;-1724669,10;2016,00;5,38;
569;Республика Алтай ;4861,00;59,10;1,50;-5015,70;194,10;-1727735,30;2016,00;5,38;
570;Республика Бурятия ;4869,50;59,20;1,50;-5024,60;194,40;-1730801,50;2016,00;5,38;
571;Республика Тыва ;4878,00;59,30;1,50;-5033,50;194,70;-1733867,70;2016,00;5,38;
572;Республика Хакасия ;4886,50;59,40;1,50;-5042,40;195,00;-1736933,90;2016,00;5,38;
573;Алтайский край ;4895,00;59,50;1,50;-5051,30;195,30;-1740000,10;2016,00;5,38;
574;Забайкальский край ;4903,50;59,60;1,50;-5060,20;195,60;-1743066,30;2016,00;5,38;
575;Красноярский край ;4912,00;59,70;1,50;-5069,10;195,90;-1746132,50;2016,00;5,38;
576;Иркутская область ;4920,50;59,80;1,50;-5078,00;196,20;-1749198,70;2016,00;5,38;
577;Кемеровская область ;4929,00;59,90;1,50;-5086,90;196,50;-1752264,90;2016,00;5,38;
578;Новосибирская область ;4937,50;60,00;1,50;-5095,80;196,80;-1755331,10;2016,00;5,38;
579;Омская область ;4946,00;60,10;1,50;-5104,70;197,10;-1758397,30;2016,00;5,38;
580;Томская область ;4954,50;60,20;1,50;-5113,60;197,40;-1761463,50;2016,00;5,38;
581;Республика Саха(Якутия) ;4963,00;60,30;1,50;-5122,50;197,70;-1764529,70;2016,00;5,38;
582;Камчатский край ;4971,50;60,40;1,50;-5131,40;198,00;-1767595,90;2016,00;5,38;
583;Приморский край ;4980,00;60,50;1,50;-5140,30;198,30;-1770662,10;2016,00;5,38;
584;Хабаровский край ;4988,50;60,60;1,50;-5149,20;198,60;-1773728,30;2016,00;5,38;
585;Амурская область ;4997,00;60,70;1,50;-5158,10;198,90;-1776794,50;2016,00;5,38;
586;Магаданская область ;5005,50;60,80;1,50;-5167,00;199,20;-1779860,70;2016,00;5,38;
587;Сахалинская область ;5014,00;60,90;1,50;-5175,90;199,50;-1782926,90;2016,00;5,38;
588;Еврейская авт. область ;5022,50;61,00;1,50;-5184,80;199,80;-1785993,10;2016,00;5,38;
589;Чукотский авт. округ ;5031,00;61,10;1,50;-5193,70;200,10;-1789059,30;2016,00;5,38;
590;Белгородская область;5039,50;61,20;1,50;-5202,60;200,40;-1792125,50;2016,00;5,38;
591;Брянская область;5048,00;61,30;1,50;-5211,50;200,70;-1795191,70;2016,00;5,38;
592;Владимирская область;5056,50;61,40;1,50;-5220,40;201,00;-1798257,90;2016,00;5,38;
593;Воронежская область;5065,00;61,50;1,50;-5229,30;201,30;-1801324,10;2016,00;5,38;
594;Ивановская область;5073,50;61,60;1,50;-5238,20;201,60;-1804390,30;2016,00;5,38;
595;Калужская область;5082,00;61,70;1,50;-5247,10;201,90;-1807456,50;2016,00;5,38;

